"PCN Number","Publish Date","PCN Title","Key Characteristics",4M,"Product Categories",Abstract
107839-00,2007/08/17,"Intel(R) Storage Server SSR212PPi500, PCN 107839-00, Product Discontinuance, Class 1: Product Discontinuance","Product Discontinuance",,"Server Boards and Platforms, Server Chassis","Server Boards and Platforms, Server Chassis, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
107793-01,2007/08/17,"Intel(R) Core(TM)2 Extreme Quad-Core Processors, Intel(R) Core(TM)2 Quad Processors and Quad-Core Intel(R) Xeon(R) 5300, 3200 Series Processors, PCN 107793-01, Product Marking, Indentation on new IHS Lid, Reason for Revision: Update PCN Title","Product Marking","Machine, Method","Desktop Processors, Server Processors","Desktop Processors, Server Processors, Product Marking, Intel anticipates no impact to customers, see PCN detail for further information."
107837-00,2007/08/17,"SSR212PP2f500, PCN 107837-00, Product Discontinuance, Class1: Product Discontinuance","Product Discontinuance",,"Server Boards and Platforms, Server Chassis","Server Boards and Platforms, Server Chassis, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
107840-00,2007/08/17,"Intel(R) Storage Server SSR212PP2i500, PCN 107840-00, Product Discontinuance, Class 1: Product Discontinuance","Product Discontinuance",,"Server Boards and Platforms, Server Chassis","Server Boards and Platforms, Server Chassis, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
107233-03,2007/08/17,"Intel(R) Tunable Laser, TTX19900, PCN 107233-03, Product Material, Shipping Box and Pre-assembly for Ease of Manufacturing, Reason for Revision: Request to add Contract Manufacturer Name","Product Material",Material,"Networking Products","Networking Products, Product Material, Customers may want to perform re-qualification, re-test, re-certification or standard validation testing for this change; see sample detail in PCN where applicable."
106315-01,2007/08/17,"SRCU41L, PCN 106315-01, Documentation, CLASS 2: Update Firmware to 314P, Update Packaging and Collateral (CD and Attention Document), Reason for Revision: Cancelled this PCN",Documentation,,"Intel® Server RAID Controllers","Intel(R) Server RAID Controllers, Documentation, Intel anticipates no impact to customers, see PCN detail for further information."
107811-00,2007/08/16,"Intel(R) Wireless WiFi Link 4965AGN Skus: 4965AGNMJPGN, JPWB (MM#s 886437, 886732), PCN 107811-00, Product Design, Addition of JP Midband/40Mhz FAT Channel Functionality","Product Design","Material, Method","Networking Products","Networking Products, Product Design, Addition of JP Midband/40Mhz FAT Channel Functionality"
107804-00,2007/08/16,"Intel(R) PRO/Wireless 3945ABG Network Connection WB Skus: WM3945AGM1WB, M2WB, RWWB, JPWB (MM#s 878722, 878721, 878749, 878738), PCN 107804-00, Product Material, Product Label, Almagor M Manufacturer Change, OUI Update, JP Regulatory Marking Update","Product Material",Material,"Networking Products","Networking Products, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
107798-00,2007/08/14,"Intel PRO/10GbE SR Server Adapter, PXLA8591SR MM#858385 (Lakeway Retail Single), PXLA8591SRG1P5 MM#858966 (Lakeway Retail 5 pack), PCN 107798-00, Product Material, Moving from Leaded to Lead Free Optic","Product Material",Material,"Networking Products","Networking Products, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
107809-00,2007/08/14,"D945GNT (Sorrento) and D945GTP (Tappen), PCN 107809-00, Product Discontinuance","Product Discontinuance",,"Desktop Boards","Desktop Boards, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
107788-00,2007/08/14,"SHW4URM2SA23, PCN 107788-00, Product Design, CLASS 2:Accessories,FHW4U2SASBP SAS backplane HSC firmware update","Product Design","Material, Method","Server Boards and Platforms","Server Boards and Platforms, Product Design, Customers may want to perform re-qualification, re-test, re-certification or standard validation testing for this change; see sample detail in PCN where applicable."
107795-00,2007/08/10,"Intel(R) 2/1Gbps Small Form Factor (SFF) Optical Transceiver, Intel TXN3101100, TXN3101101, PCN 107795-00, Product Material, TOSA Supply Changes, ROSA Supply Changes, PCB Supply Changes, Guide Post Plating","Product Material",Material,"Networking Products","Networking Products, Product Material, Customers may want to perform re-qualification, re-test, re-certification or standard validation testing for this change; see sample detail in PCN where applicable."
107772-01,2007/08/10,"Intel(R) TXN 174302013 Optical Transceiver, PCN 107772-01, Product Discontinuance, with Abridged Timeline, Reason for Revision: Correct the Affected Product List","Product Discontinuance",,"Networking Products","Networking Products, Product Discontinuance, Date to implement this change is a non-standard compressed timeline; please see PCN details for further information."
107800-00,2007/08/10,"Intel(R) Celeron(R) Processors, PCN 107800-00, Product Material, Fan Heatsink Clip Removal","Product Material",Material,"Desktop Processors","Desktop Processors, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
107765-00,2007/08/10,"SR1530AH/SR1530AHLX, PCN 107765-00, Product Design, Class 3, New 1U Heatsink without TIM liner","Product Design","Material, Method","Server Boards and Platforms, Server Chassis","Server Boards and Platforms, Server Chassis, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
107791-00,2007/08/09,"Intel(r) IP Network Server NSW1U, PCN 107791-00, Product Design, Software Update, Label Change, update PCIe riser","Product Design","Material, Method","Carrier and Industrial Grade Server Platforms","Carrier and Industrial Grade Server Platforms, Product Design, Customers may want to perform re-qualification, re-test, re-certification or standard validation testing for this change; see sample detail in PCN where applicable."
107779-00,2007/08/08,"Desktop Intel(R) Pentium(R) 4 Processors 661, 641 and 631, and Intel(R) Pentium(R) D Processors 945, 935, 925 and 915, PCN 107779-00, Product Discontinuance, Tray and Boxed Product Discontinuance","Product Discontinuance",,"Desktop Processors","Desktop Processors, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
107781-00,2007/08/07,"LE/BF3100MICH, PCN 107781-00, Documentation, Correction of VIL Level for Jtag Pins from the Current 0.5V to 0.35V",Documentation,,"Embedded Processors","Embedded Processors, Documentation, Intel anticipates no impact to customers, see PCN detail for further information."
107792-00,2007/08/07,"M05, PCN 107792-00, Product Discontinuance, Class 1, M05 Product Discontinuance Announcement, Reason for Revision: Original PCN","Product Discontinuance",,"Server Boards and Platforms","Server Boards and Platforms, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
107598-00,2007/08/03,"Intel Carrier Grade Server TIGW1U, PCN 107598-00, Product Design, Changes to AC Power Distribution Board, Fan Bracket Assembly, DVDCDR, Software Update, SAS OpROM, update PCI-X riser, update Deployment CD, add Battery Isolation.","Product Design","Material, Method","Carrier and Industrial Grade Server Platforms","Carrier and Industrial Grade Server Platforms, Product Design, Customers may want to perform re-qualification, re-test, re-certification or standard validation testing for this change; see sample detail in PCN where applicable."
107780-00,2007/08/03,"Intel Management Module - Advanced Edition, PCN 107780-00, Product Material, Change to NIC RJ-45 connector to allow for correct LAN cable insertion and removal","Product Material",Material,"Server Boards and Platforms","Server Boards and Platforms, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
107774-00,2007/08/03,"Intel(R) 4Gpbs Small Form Factor (SFF) Optical Transceiver, PCN 107774-00, Product Design, and Order Code Change for TXN31015D100000, TXN31015D100002","Product Design","Material, Method","Networking Products","Networking Products, Product Design, Customers to place future orders using new order code, see details in PCN."
107643-01,2007/08/02,"Intel Netstructure(R) MPCBL0040 Single Board Computer, PCN 107643-01, Product Design, Improved UL clearance by adding additional insulators, change ejector handles, Reason for Revision: Ejector handle information added.","Product Design","Material, Method","Telecom and Compute","Telecom and Compute, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
107760-00,2007/08/01,"Intel(R) IXP400 DSP software v2.5 and 2.6; Software Product Discontinuance due to Availability of Later and Improved Software Product, PCN 107760-00, Product Discontinuance, Software Only, Does Not Impact Components","Product Discontinuance",,"Embedded Processors","Embedded Processors, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
107509-01,2007/08/01,"Intel(R) Server Compute Blade SBXD132, Intel(R) Server Blade Chassis SBCE, Intel(R) Gigabit Ethernet Switch SBCEGBESW1 and Intel(R) Gigabit Ethernet Switch SBCEGBESW10 and associated  accessories, PCN 107509-01, Product Discontinuance, Product Discontinua","Product Discontinuance",,"Server Boards and Platforms","Server Boards and Platforms, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
107766-00,2007/07/31,"SR9000MK4U, PCN 107766-00, Label, Class2: Change DIMM Socket Lever Color, Changes to Certification and Quick Reference Labels",Label,"Machine, Material","Server Boards and Platforms","Server Boards and Platforms, Label, Intel anticipates no impact to customers, see PCN detail for further information."
106709-02,2007/07/30,"Intel NetStructure(R) MPCMM0002Q Chassis Management Module, PCN 106709-02, Product Design, changes to faceplate, front panel LED, EMI filter, ejector handle, new firmware,changes to faceplate, front panel LED, EMI filter, PCB layout, capacitors 16V and 10","Product Design","Material, Method","Telecom and Compute","Telecom and Compute, Product Design, Customers may want to perform re-qualification, re-test, re-certification or standard validation testing for this change; see sample detail in PCN where applicable."
106861-01,2007/07/30,"Intel NetStructure(R) MPCMM0001Q Chassis Management Module, PCN 106861-01, Product Design, Ejector Handle, Faceplate, LED light-pipe, Battery Holder, FW version, Reason for Revision: Post change numbers added","Product Design","Material, Method","Telecom and Compute","Telecom and Compute, Product Design, Customers may want to perform re-qualification, re-test, re-certification or standard validation testing for this change; see sample detail in PCN where applicable."
107767-00,2007/07/27,"Dual-Core Intel(R) Xeon(R) processor LV (Sossaman), PCN 107767-00, Product Discontinuance, Product Discontinuance","Product Discontinuance",,"Server Processors","Server Processors, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
107699-01,2007/07/27,"SR1500 and SR1550 Based Systems, and Spares, PCN 107699-01, Product Design, Class 2, System Fan Assembly Change, Reason for Revision: Changing availability date","Product Design","Material, Method","Server Chassis","Server Chassis, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
107768-00,2007/07/27,"Dual-Core Intel(R) Xeon(R) processor LV (Sossaman), PCN 107768-00, Product Support, Transitioning from Intel Architecture to Embedded Architecture","Product Support",,"Server Processors","Server Processors, Product Support, Product transitioning from Intel Architecture to Embedded Intel Architecture."
107716-01,2007/07/26,"Intel Desktop Board DG33TL, PCN 107716-01, Product Design, PATA/IDE controller change, Reason for Revision: PCN information updated","Product Design","Material, Method","Desktop Boards","Desktop Boards, Product Design, Customers may want to perform re-qualification, re-test, re-certification or standard validation testing for this change; see sample detail in PCN where applicable."
107759-00,2007/07/26,"Intel(R) 4/2/1Gbps Small Form Factor (SFF) Optical Transceiver, PCN 107759-00, Product Material, TXN31015D100001, Receiver Optical Sub-Assembly (ROSA) Supply","Product Material",Material,"Networking Products","Networking Products, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
107757-00,2007/07/26,"Intel(R) 4/2/1Gbps Small Form Factor (SFF) Optical Transceiver, PCN 107757-00, Product Material, Product Material, TXN31015D100000, TXN31015D100002, Receiver Optical Sub-Assembly (ROSA) Supply","Product Material",Material,"Networking Products","Networking Products, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
107751-00,2007/07/26,"Intel NetStructure(R) MPRTM0040 Rear Transition Module, PCN 107751-00, Product Design, Change ejector handle","Product Design","Material, Method","Carrier and Industrial Grade Server Platforms","Carrier and Industrial Grade Server Platforms, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
107750-00,2007/07/26,"Intel NetStructure(R) MPCBL0040 Single Board Computer, PCN 107750-00, Product Design, Change stepping of Dual-Core Intel(R) Xeon(R) processor and Serial Attached SCSI hard drive controller","Product Design","Material, Method","Telecom and Compute","Telecom and Compute, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
107649-00,2007/07/24,"Intel PRO/1000 PF Quad Port Server Adapter, EXPI9404PFG1P20 MM#882885, EXPI9404PF MM#882803 & EXPI9404PFBLK MM#882888 (Bolton OEM gen, Retail), PCN 107649-00, Product Design, Resistor change and EEPROM update","Product Design","Material, Method","Networking Products","Networking Products, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
107748-00,2007/07/24,"Dual-Core Intel(R) Xeon(R) 5100 Series Processors (Woodcrest), PCN 107748-00, Product Design, B2 to G0 Stepping Change","Product Design","Material, Method","Embedded Processors","Embedded Processors, Product Design, Customers may want to perform re-qualification, re-test, re-certification or standard validation testing for this change; see sample detail in PCN where applicable."
107755-00,2007/07/24,"D946GZIS, PCN 107755-00, Product Material, Adding new FET and update to latest BIOS","Product Material",Material,"Desktop Boards","Desktop Boards, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
107749-00,2007/07/24,"D945GCPE, PCN 107749-00, Product Material, BIOS update","Product Material",Material,"Desktop Boards","Desktop Boards, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
107756-00,2007/07/24,"D945PLNM, PCN 107756-00, Product Design, BIOS update","Product Design","Material, Method","Desktop Boards","Desktop Boards, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
107754-00,2007/07/24,"D945PLRN, PCN 107754-00, Product Design, Updated BIOS release","Product Design","Material, Method","Desktop Boards","Desktop Boards, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
107741-00,2007/07/23,"SR2500ALOEM, PCN 107741-00, Product Material, Class 2, MiniDIMM upgrade","Product Material",Material,"Server Boards and Platforms","Server Boards and Platforms, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
106703-02,2007/07/23,"Intel NetStructure (R) MPCBL0001F04Q, MPCBL0001N04Q, PCN 106703-02, Product Material, Replaced non-nylok screws with nylok screws, Reason for Revision: Corrected post-change TA and PBA numbers","Product Material",Material,"Telecom and Compute","Telecom and Compute, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
107746-00,2007/07/21,"Boxed Intel(R) Core(TM)2 Duo Desktop Processor E4400, PCN 107746-00, Product Design, L-2 to M-0 Stepping Conversion","Product Design","Material, Method","Desktop Processors","Desktop Processors, Product Design, Customers may want to perform re-qualification, re-test, re-certification or standard validation testing for this change; see sample detail in PCN where applicable."
107744-00,2007/07/20,"6.6 SP1 ECO w/815B firmware update, PCN 107744-00, Product Material, Update SAN software to 6.6 SP1 and 815B firmware update for Intel RAID controller SRCS28X","Product Material",Material,"Server Boards and Platforms","Server Boards and Platforms, Product Material, Customers to place future orders using new order code, see details in PCN."
107742-00,2007/07/18,"Intel (R) Network Processors IXP430AB, IXP431AB, IXP432AB, IXP435AB, PCN 107742-00, Order Code, Line Item Consolidation","Order Code",,"Embedded Processors","Embedded Processors, Order Code, Customers to place future orders using new order code, see details in PCN."
107734-00,2007/07/18,"D945GNT, PCN 107734-00, Product Design, BIOS Update","Product Design","Material, Method","Desktop Boards","Desktop Boards, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
107738-00,2007/07/16,"AXXDVDCDR, PCN 107738-00, Product Material, CLASS 2, Slim Line DVD/CDR Drive Changing","Product Material",Material,"Server Chassis","Server Chassis, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
107739-00,2007/07/16,"AXXSCD, PCN 107739-00, Product Material, CLASS2, Slim Line CD Drive Changing","Product Material",Material,"Server Chassis","Server Chassis, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
107724-00,2007/07/13,"S5000PSL, S5000XSL and S5000XVN, PCN 107724-00, Product Discontinuance, Class 1: Product Discontinuance Notification","Product Discontinuance",,"Server Boards and Platforms","Server Boards and Platforms, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
107723-00,2007/07/13,"SC5400RA, PCN 107723-00, Product Discontinuance, Class 1: Product Discontinuance Notification","Product Discontinuance",,"Server Boards and Platforms","Server Boards and Platforms, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
107736-00,2007/07/13,"Intel(R) Desktop Board D945GCCR (Coconut Creek), PCN 107736-00, Product Discontinuance","Product Discontinuance",,"Desktop Boards","Desktop Boards, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
107675-00,2007/07/13,"Intel 82543GC Gigabit Ethernet Controller (Livengood), 82544EI Gigabit Ethernet Controllers (Cordova), 82544GC Gigabit Ethernet Controller (Cordova-R), 82545EM Gigabit Ethernet Controller (Kenai64) & 82546EB Dual Port Gigabit Ethernet Controller (Anvik),","Product Discontinuance",,"Networking Products","Networking Products, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
107714-00,2007/07/12,"Intel PRO/1000 GT Desktop Adapter (Stebbins II LF G2 Samsung sku), PCN 107714-00, Manufacturing Site, Manufacturing Site Change from Suzhou, Peoples Republic of China to Penang, Malaysia","Manufacturing Site","Machine, Man","Networking Products","Networking Products, Manufacturing Site, Intel anticipates no impact to customers, see PCN detail for further information."
107718-00,2007/07/12,"Intel Netstructure(R) MPCBL0020 Single Board Computer, PCN 107718-00, Product Design, Firmware update","Product Design","Material, Method","Telecom and Compute","Telecom and Compute, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
107717-00,2007/07/12,"S3000AHLX;S3000AH;S3000AHV;BAHBBLX;BAHBB;BAHBBV, PCN 107717-00, Product Design, BIOS update to incorporate the micro code and add the Intel flash as the 2nd source of BIOS flash part","Product Design","Material, Method","Server Boards and Platforms","Server Boards and Platforms, Product Design, Customers to place future orders using new order code, see details in PCN."
107712-00,2007/07/11,"Intel OEM generic Everson, Stebbins II LF, Double Barrow II LF, Coney Island, Glyndon & Redwater, PCN 107712-00, Manufacturing Site, Manufacturing Site Change from Suzhou, Peoples Republic of China to Penang, Malaysia","Manufacturing Site","Machine, Man","Networking Products","Networking Products, Manufacturing Site, Intel anticipates no impact to customers, see PCN detail for further information."
107604-01,2007/07/11,"SR2500ALBRP, PCN 107604-01, Product Material, Class 2, 60mm Fan Upgrade, Reason for Revision: Changing affected product list, and updating TA# and availability date","Product Material",Material,"Server Boards and Platforms, Server Chassis","Server Boards and Platforms, Server Chassis, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
107729-00,2007/07/11,"Intel(R) Xeon(R) 5000 Series Processors (Dempsey), PCN 107729-00, Product Discontinuance, Product Discontinuance for Tray and Boxed","Product Discontinuance",,"Server Processors","Server Processors, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
107728-00,2007/07/10,"SRCS28X, SC89056, PCN 107728-00, Product Material, CLASS 2: Update I/O Processor to New Stepping, Update Firmware to 815C","Product Material",Material,"Intel® Server RAID Controllers","Intel(R) Server RAID Controllers, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
107727-00,2007/07/10,"SC5299-E, PCN 107727-00, Product Material, Class 2, 120mm Metal Fan Finger Guard and Four Plastic Rivets being added via an accessory bag. The QSG is also being modified to mention that an accessory fan is required for optimum six drive SCSI operation in","Product Material",Material,"Server Chassis","Server Chassis, Product Material, This Metal Fan Finger Guard is required for customers using the Intel(R) Server Board S3000AH with the SC5299DP/BRP chassis."
107722-00,2007/07/10,"Intel Server Spare Part TMWDCPSU01W, PCN 107722-00, Product Design, DC Power Supply Spare Part","Product Design","Material, Method","Telecom and Compute","Telecom and Compute, Product Design, Customers may want to perform re-qualification, re-test, re-certification or standard validation testing for this change; see sample detail in PCN where applicable."
107663-01,2007/07/09,"SRCU41L, PCN 107663-01, Product Material, CLASS 2: Update I/O Processor to New Stepping, Update Firmware to 314R, Reason for Revision: Update Firmware to 314R","Product Material",Material,"Intel® Server RAID Controllers","Intel(R) Server RAID Controllers, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
107721-00,2007/07/09,"D201GLY, PCN 107721-00, Product Design, Fab Spin for Quality Improvement","Product Design","Material, Method","Desktop Boards","Desktop Boards, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
107720-00,2007/07/09,"D201GLY, PCN 107720-00, Product Material, New processor stepping","Product Material",Material,"Desktop Boards","Desktop Boards, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
107662-00,2007/07/06,"Intel PRO/100 S Server Adapter (SouthBend OEM generic), PCN 107662-00, Manufacturing Site, Manufacturing Site Change from Suzhou, Peoples Republic of China to Penang, Malaysia and adding Peoples Republic of China (PRC) Environmental Firnedly Use Period","Manufacturing Site","Machine, Man","Networking Products","Networking Products, Manufacturing Site, Intel anticipates no impact to customers, see PCN detail for further information."
107710-00,2007/07/06,"Intel Everson, Stebbins II LF, Glyndon, Redwater, Coney Island Retail skus, PCN 107710-00, Manufacturing Site, Change from Suzhou, Peoples Republic of China to Penang, Malaysia","Manufacturing Site","Machine, Man","Networking Products","Networking Products, Manufacturing Site, Intel anticipates no impact to customers, see PCN detail for further information."
107694-00,2007/07/05,"Intel PRO/1000 MT Dual Port Server Adapter (Double Barrow OEM generic), PCN 107694-00, Manufacturing Site, Manufacturing Site Change from Suzhou, Peoples Republic of China to Penang, Malaysia","Manufacturing Site","Machine, Man","Networking Products","Networking Products, Manufacturing Site, Intel anticipates no impact to customers, see PCN detail for further information."
106623-02,2007/07/05,"Intel NetStructure (R) MPCBL0001, PCN 106623-02, Product Design, Incorporated IPMC firmware 1.17 and Replace non-nylok screws with nylok screws, Reason for Revision: Updated with latest change status","Product Design","Material, Method","Desktop Processors","Desktop Processors, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
107667-01,2007/07/03,"Intel(R) Pentium(R) Dual-Core Desktop Processors E2160 and E2140, PCN 107667-01, Product Design, L-2 to M-0 Stepping Conversion, Reason for Revision: Add brand string chnage and update wattage reference","Product Design","Material, Method","Desktop Processors","Desktop Processors, Product Design, Customers may want to perform re-qualification, re-test, re-certification or standard validation testing for this change; see sample detail in PCN where applicable."
107673-01,2007/07/03,"Boxed Intel(R) Pentium(R) Dual-Core Desktop Processors E2160 and E2140, PCN 107673-01, Product Design, L-2 to M-0 Stepping Conversion, Reason for Revision: Updated Description of Change to Customer","Product Design","Material, Method","Desktop Processors","Desktop Processors, Product Design, Customers may want to perform re-qualification, re-test, re-certification or standard validation testing for this change; see sample detail in PCN where applicable."
107668-01,2007/06/28,"SSR212MC2 & SSR212MC2R ECO, PCN 107668-01, Product Material, Factory Change, FW Updates., Reason for Revision: Added Power Supply Cage modification and details.","Product Material",Material,"Server Boards and Platforms","Server Boards and Platforms, Product Material, Customers to place future orders using new order code, see details in PCN."
107204-01,2007/06/28,"SRCS28X, PCN 107204-01, Product Marking, CLASS 2: Changes for China RoHS Compliance, Reason for Revision: No Stepping Change for I/O Processor","Product Marking","Machine, Method","Intel® Server RAID Controllers","Intel(R) Server RAID Controllers, Product Marking, Intel anticipates no impact to customers, see PCN detail for further information."
107692-00,2007/06/28,"Intel(R) Wireless WiFi Link 4965AGN Skus: 4965AGNMJPGN, JPGN0, M1WB, M2WB, RWWB, JPWB; 4965AG_MJPGN (MM#s 886437, 891353, 886704, 886734, 886727, 886732, 886461), PCN 107692-00, Label, Product Label update to JP DSPR # and change WB Insert Documentation.",Label,"Machine, Material","Networking Products","Networking Products, Label, Regulatory Requirements."
107690-00,2007/06/28,"SE7230NH1;SE7230NH1LX;SR1475NH1;SR1475NH1NA, PCN 107690-00, Product Discontinuance, Product Discontinuance Notification","Product Discontinuance",,"Server Boards and Platforms","Server Boards and Platforms, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
107606-00,2007/06/28,"Intel PRO/100 S Desktop Adapter (MacKenzie), PRO/100 S Server Adapter (SouthBend), PRO/100 M Desktop Adapter (Dayville), PRO/100 S Dual Port Server Adapter (Gainesville) & PRO/1000 MT Dual Port Server Adapter (Double Barrow), PCN 107606-00, Manufacturing","Manufacturing Site","Machine, Man","Networking Products","Networking Products, Manufacturing Site, Intel anticipates no impact to customers, see PCN detail for further information."
107638-00,2007/06/27,"Intel IP Network Server NSW1U, PCN 107638-00, Product Design, Design change to Fan Assemblies, add Isolation for Battery, and change DC Power Supply.","Product Design","Material, Method","Carrier and Industrial Grade Server Platforms","Carrier and Industrial Grade Server Platforms, Product Design, Customers may want to perform re-qualification, re-test, re-certification or standard validation testing for this change; see sample detail in PCN where applicable."
107680-00,2007/06/27,"Intel(R) IXP400 software v1.3, 1.4, 1.5, 2.0, 2.1, and 2.3; Software Product Discontinuance Due to Availability of Later and Improved Software Product, PCN 107680-00, Product Discontinuance","Product Discontinuance",,"Embedded Processors","Embedded Processors, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
107688-00,2007/06/26,"Boxed Intel(R) Core(TM)2 Extreme Processor QX6800, PCN 107688-00, Product Design, B-3 step to G-0 Stepping Conversion","Product Design","Material, Method","Desktop Processors","Desktop Processors, Product Design, Customers may want to perform re-qualification, re-test, re-certification or standard validation testing for this change; see sample detail in PCN where applicable."
107689-00,2007/06/26,"SR4850HW4M,SHW4URM3SA,SR6850HW4M and SHW6URM3SA, PCN 107689-00, Product Design, Class 2 Accessories: DVD-ROM changing","Product Design","Material, Method","Server Boards and Platforms","Server Boards and Platforms, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
107687-00,2007/06/26,"Boxed Intel(R) Core(TM)2 Quad Processor Q6600 and Intel(R) Xeon(R) Processors X3220 and X3210, PCN 107687-00, Product Design, B-3 to G-0 Stepping Conversion","Product Design","Material, Method","Chipsets - Desktop","Chipsets - Desktop, Product Design, Customers may want to perform re-qualification, re-test, re-certification or standard validation testing for this change; see sample detail in PCN where applicable."
107678-00,2007/06/26,"Mid & High-end Network Processor Development Platform, PCN 107678-00, Product Discontinuance","Product Discontinuance",,"Embedded Processors","Embedded Processors, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
107676-00,2007/06/25,"DG33TL, PCN 107676-00, Product Design, Improve thermal margin","Product Design","Material, Method","Desktop Boards","Desktop Boards, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
107666-00,2007/06/25,"SR2500 Based Systems and Spares, PCN 107666-00, Product Design, Class 2, Redundant Fan Cage Isolation","Product Design","Material, Method","Server Chassis","Server Chassis, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
107572-01,2007/06/25,"SR1500AL and ASR1500PASBP, PCN 107572-01, Product Material, Class 1, Backplane design update, Reason for Revision: Updating TA numbers and  availability date","Product Material",Material,"Server Boards and Platforms","Server Boards and Platforms, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
107669-00,2007/06/21,"D946GZAB, PCN 107669-00, Product Design, ROHS compliance implementation and add VREG Controller","Product Design","Material, Method","Chipsets - Desktop","Chipsets - Desktop, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
107665-00,2007/06/20,"DG33FB, PCN 107665-00, Product Material, BIOS update to 0246","Product Material",Material,"Desktop Boards","Desktop Boards, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
107664-00,2007/06/20,"SRCS16, PCN 107664-00, Product Material, CLASS 2: Update I/O Processor to New Stepping","Product Material",Material,"Intel® Server RAID Controllers","Intel(R) Server RAID Controllers, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
107658-00,2007/06/18,"D945GTPLKR, PCN 107658-00, Product Material, Remove ATMEL SPI from BOM","Product Material",Material,"Desktop Boards","Desktop Boards, Product Material, Date to implement this change is a non-standard compressed timeline; please see PCN details for further information."
107611-00,2007/06/17,"Intel 10GbE Controllers, Gigabit Ethernet Controllers, and Dual Port Gigabit Ethernet Controllers, PCN 107611-00, Product Marking, Replace Intel Drop e Logo Marking with the new Intel Text Marking","Product Marking","Machine, Method","Networking Products","Networking Products, Product Marking, Intel anticipates no impact to customers, see PCN detail for further information."
